prompt,response
How can I request a change in my polling station?,"You can request a change in your polling station by filling out Form 8, which is the application form for correction of entries in the electoral roll. Specify the reason for the change along with the details of your current and preferred polling stations. Submit the filled-out form to the nearest Electoral Registration Officer (ERO) office for processing."
What are the different voter education programs conducted by the Election Commission?,"The Election Commission conducts various voter education programs to create awareness about the electoral process and encourage voter participation. These programs include voter awareness campaigns, voter registration drives, training sessions for electoral officials, outreach programs for marginalized communities, etc."
How can I find information about election results?,"You can find information about election results on the Election Commission of India website or the NVSP portal. The ECI publishes election results for various elections such as Lok Sabha elections, State Assembly elections, etc., along with details such as party-wise performance, candidate-wise results, voter turnout, etc."
How can I apply for a postal ballot as an eligible voter?,"Eligible voters can apply for a postal ballot by filling out Form 12D, which is the application form for postal ballot. You can fill out Form 12D online on the NVSP website or offline by obtaining the form from your respective Electoral Registration Officer (ERO) office. Provide the necessary details and documents as per the application process."
How can I obtain a certified copy of the electoral roll for my area?,"To obtain a certified copy of the electoral roll for your area, you can visit the nearest Electoral Registration Officer (ERO) office and submit a request. Alternatively, you can download a certified copy from the Election Commission of India website or the NVSP portal by navigating to the 'Electoral Roll PDF' section and selecting your state and constituency."
"What is the Voter Verified Paper Audit Trail (VVPAT) system, and how does it work?","The Voter Verified Paper Audit Trail (VVPAT) system is a method used to provide feedback to voters using a paper slip. When a voter casts their vote on an Electronic Voting Machine (EVM), the VVPAT system generates a paper slip with the candidate's name, symbol, and serial number. The voter can verify their vote on the paper slip before it drops into a sealed box."
How can I apply for inclusion of my name in the electoral roll if I have recently turned 18?,"If you have recently turned 18 and are eligible to vote, you can apply for inclusion of your name in the electoral roll by filling out Form 6 online on the NVSP website or offline by obtaining the form from your nearest Electoral Registration Officer (ERO) office. Provide the necessary documents such as proof of age and residence along with the filled-out form."
What is the National Electoral Roll Purification and Authentication Programme (NERPAP)?,"The National Electoral Roll Purification and Authentication Programme (NERPAP) is an initiative launched by the Election Commission of India to improve the accuracy and authenticity of the electoral roll. Under this program, various measures such as door-to-door verification, de-duplication of entries, and updating of voter details are undertaken to ensure a clean and error-free electoral roll."
How can I report a violation of the Model Code of Conduct during elections?,"You can report a violation of the Model Code of Conduct during elections by filing a complaint with the Election Commission of India. You can do so online through the ECI website or by contacting the ECI helpline. Provide detailed information about the incident, including date, time, location, and any evidence available."
How can I register as a voter if I am a resident of a different state from my place of birth?,"If you are a resident of a different state from your place of birth, you can register as a voter in your current place of residence by filling out Form 6 online on the NVSP website or offline by obtaining the form from your nearest Electoral Registration Officer (ERO) office. Provide the necessary documents such as proof of residence along with the filled-out form."
What is the process for obtaining a duplicate voter ID card if mine is damaged or lost?,"If your voter ID card is damaged or lost, you can obtain a duplicate voter ID card by filing a police complaint and then applying for a duplicate card. Fill out Form 002 for a duplicate voter ID card, submit it along with the required documents to your nearest Electoral Registration Officer (ERO) office, and pay the prescribed fee."
How can I verify the authenticity of my voter ID card online?,"You can verify the authenticity of your voter ID card online by visiting the NVSP website and using the 'Search Your Name in Electoral Roll' feature. Enter your EPIC (Electors Photo Identity Card) number or other details as required, and if your name appears in the electoral roll, it confirms the authenticity of your voter ID card."
How does the Election Commission ensure accessibility for voters with disabilities?,"The Election Commission ensures accessibility for voters with disabilities by providing facilities such as ramps, wheelchair assistance, Braille-enabled EVMs, sign language interpreters, accessible polling stations, and voter assistance booths. These measures aim to enable voters with disabilities to participate in the electoral process independently and with dignity."
How can I volunteer for election-related activities or become a polling officer?,"If you wish to volunteer for election-related activities or become a polling officer, you can express your interest by contacting the Election Commission of India or your respective State Election Commission. You can also inquire about volunteering opportunities at the nearest Electoral Registration Officer (ERO) office or through community organizations involved in voter awareness campaigns."
How can I find information about the electoral laws specific to my state?,You can find information about the electoral laws specific to your state by visiting the website of your State Election Commission. Each state has its own election commission responsible for conducting local body elections and implementing state-specific electoral laws. You can navigate to the 'Laws & Rules' section or search for relevant information on the website.
What are the eligibility criteria for contesting in elections in India?,"To contest in elections in India, a candidate must fulfill certain eligibility criteria laid down by the Election Commission of India. These include being a citizen of India, being at least 25 years old for Lok Sabha elections and 21 years old for State Legislative Assembly elections, not being disqualified under specific grounds, and being registered as a voter in the constituency they intend to contest from."
How can I register a complaint related to electoral rolls or voter registration?,"You can register a complaint related to electoral rolls or voter registration by contacting the Electoral Registration Officer (ERO) office in your constituency. You can find the contact details of the ERO office on the Election Commission of India website or the NVSP portal. Alternatively, you can file a complaint online through the Grievance Redressal Portal on the ECI website."
What are the guidelines for political parties regarding the use of public spaces for election campaigning?,"Political parties are required to adhere to certain guidelines regarding the use of public spaces for election campaigning. These guidelines may vary depending on local laws and regulations. Generally, parties are required to obtain necessary permissions from the relevant authorities for organizing rallies, public meetings, or using public spaces for campaign purposes. Violation of these guidelines may lead to legal action by the Election Commission."
"How can I find information about election-related seminars, workshops, or training programs conducted by the Election Commission?","You can find information about election-related seminars, workshops, or training programs conducted by the Election Commission of India on their official website. Look for announcements or notifications in the 'News & Events' section or check for updates on the ECI's social media channels. Additionally, you can contact the ECI office or your State Election Commission for details on upcoming programs."
What are the guidelines for political parties regarding the use of election symbols?,"The Election Commission of India provides guidelines for political parties regarding the use of election symbols during elections. Each registered political party is allotted a unique symbol, and parties are required to use only their allotted symbol for election campaigning. The misuse of election symbols or the use of unauthorized symbols is a violation of electoral laws and can lead to disqualification."
How can I find information about the electoral boundaries and constituencies in my state?,"You can find information about the electoral boundaries and constituencies in your state on the Election Commission of India website or the NVSP portal. Navigate to the 'Electoral Roll' or 'Constituencies' section and select your state to view details about assembly constituencies, parliamentary constituencies, delimitation details, etc."
What measures are in place to ensure the safety and security of voters during elections?,"The Election Commission of India implements various measures to ensure the safety and security of voters during elections. These measures include deployment of security personnel at polling stations, security arrangements for candidates and political leaders, monitoring of sensitive polling booths, use of CCTV cameras for surveillance, and coordination with local law enforcement agencies to maintain law and order."
How can I find information about the election schedule and polling dates for upcoming elections?,"You can find information about the election schedule and polling dates for upcoming elections on the Election Commission of India website or the NVSP portal. The ECI publishes notifications and press releases announcing the election schedule, phases of polling, and polling dates for various states and constituencies. Keep an eye on the 'Election Schedule' or 'Latest Updates' section for announcements."
How can I participate in voter awareness campaigns organized by the Election Commission?,You can participate in voter awareness campaigns organized by the Election Commission by volunteering as a voter educator or by spreading awareness among your community. Keep an eye on the announcements and initiatives promoted by the ECI on their website or social media platforms. You can also reach out to your State Election Commission or local electoral authorities to inquire about volunteering opportunities.
What measures are in place to facilitate voting for senior citizens and persons with disabilities?,"The Election Commission of India implements various measures to facilitate voting for senior citizens and persons with disabilities. These include priority access at polling stations, provision of ramps and wheelchair assistance, Braille-enabled Electronic Voting Machines (EVMs), and deployment of volunteers to assist voters with disabilities."
How can I verify the authenticity of election-related news and information shared on social media platforms?,"To verify the authenticity of election-related news and information shared on social media platforms, you can cross-check the information with official sources such as the Election Commission of India website, verified social media accounts of political parties, and credible news outlets. Avoid spreading unverified or misleading information."
What are the guidelines for election campaigning on digital platforms such as social media?,"The Election Commission of India provides guidelines for election campaigning on digital platforms to ensure transparency and fairness. Political parties and candidates are required to adhere to these guidelines, which include disclosure of sponsored content, compliance with the Model Code of Conduct, and verification of identity for political advertisements."
How can I register as a volunteer for voter assistance booths during elections?,"You can register as a volunteer for voter assistance booths during elections by contacting the Election Commission of India or your State Election Commission. Volunteers are typically recruited through local organizations, educational institutions, or community groups. You can also inquire about volunteering opportunities at your nearest ERO office."
What is the process for obtaining a postal ballot for voters residing outside their constituency during elections?,"Voters residing outside their constituency during elections can obtain a postal ballot by submitting an application to the Returning Officer (RO) of their constituency. The application form for postal ballot (Form 12D) can be obtained from the ECI website or the NVSP portal. Once approved, the postal ballot is sent to the voter's address for casting their vote."
How can I report instances of electoral violence or intimidation during elections?,"Instances of electoral violence or intimidation during elections can be reported to the Election Commission of India or the local law enforcement authorities. You can file a complaint online through the ECI website, contact the ECI helpline, or visit the nearest police station to report the incident with relevant details and evidence."
What measures are in place to ensure the impartiality of electoral officials and polling personnel?,The Election Commission of India ensures the impartiality of electoral officials and polling personnel through strict guidelines and training programs. Electoral officials are required to adhere to the Model Code of Conduct and maintain neutrality throughout the electoral process. Training sessions are conducted to educate officials about their roles and responsibilities in maintaining electoral integrity.
How can I obtain information about the candidates' criminal records and assets before voting?,"You can obtain information about the candidates' criminal records and assets before voting through various sources such as the Election Commission of India website, official candidate affidavits submitted to the ECI, and independent election watchdog organizations. These sources provide details about candidates' criminal history, financial assets, liabilities, and educational qualifications."
What is the procedure for conducting mock polls before actual voting during elections?,"Mock polls are conducted before actual voting during elections to familiarize voters with the Electronic Voting Machines (EVMs) and ensure smooth voting operations. The presiding officer demonstrates the voting process using a sample EVM, and voters cast mock votes to validate the functionality of the machines. Mock polls are typically conducted in the presence of election observers and political party representatives."
How can I provide feedback or suggestions to the Election Commission for improving the electoral process?,"You can provide feedback or suggestions to the Election Commission for improving the electoral process by submitting your ideas through the ECI website's feedback portal or by writing to the Chief Election Commissioner's office. Your feedback can include suggestions for enhancing voter participation, streamlining electoral procedures, or addressing specific issues encountered during elections."
What are the procedures for the counting of votes and declaration of election results?,"The procedures for the counting of votes and declaration of election results are governed by the Election Commission of India. After the conclusion of polling, sealed EVMs are transported to designated counting centers where votes are tallied under the supervision of election officials, candidates' agents, and election observers. The results are declared by the Returning Officer after completion of the counting process."
How can I obtain information about the election expenditure incurred by candidates and political parties?,"Information about the election expenditure incurred by candidates and political parties is available on the Election Commission of India website. Candidates are required to submit expenditure details periodically during the election process, which are published by the ECI for public scrutiny. Additionally, you can access expenditure reports filed by candidates and parties through the ECI's financial monitoring mechanisms."
How can I register as a voter if I have recently moved to a new address within the same constituency?,"If you have recently moved to a new address within the same constituency, you can update your voter registration details by filling out Form 8A online on the NVSP website or offline by obtaining the form from your nearest Electoral Registration Officer (ERO) office. Provide the necessary documents as proof of your new address along with the filled-out form."
How can I obtain information about the voter turnout in my constituency after elections?,Information about the voter turnout in your constituency after elections is published by the Election Commission of India on their website or through official announcements. You can check the voter turnout statistics for your constituency by accessing election result data or contacting the ECI office or your State Election Commission for details.
What measures are in place to ensure the confidentiality of votes cast by voters during elections?,"The Election Commission of India ensures the confidentiality of votes cast by voters during elections through various measures. These include the use of sealed EVMs with secure encryption mechanisms, strict protocols for handling and transporting ballot units, and provisions for maintaining secrecy of voting at polling stations. Additionally, election officials are bound by oath to uphold voter confidentiality."
How can I find information about the electoral process in my regional language?,"You can find information about the electoral process in your regional language through the Election Commission of India website or the NVSP portal. Many documents, forms, and guidelines are available in multiple languages to facilitate access for voters across different regions. You can select your preferred language option on the website to view content in your regional language."
What is the process for filing nomination papers as a candidate in elections?,"The process for filing nomination papers as a candidate in elections involves obtaining the necessary forms from the Returning Officer (RO) of the constituency, filling them out with required details and declarations, and submitting them along with the prescribed deposit and supporting documents within the specified nomination period. Candidates must fulfill eligibility criteria and adhere to guidelines specified by the Election Commission."
How can I obtain information about the voter turnout trends over the years in my constituency?,"You can obtain information about the voter turnout trends over the years in your constituency from the Election Commission of India website or the NVSP portal. The ECI publishes historical voter turnout data for various elections, which you can access to analyze trends and patterns in voter participation over time."
What are the guidelines for conducting exit polls during elections?,The Election Commission of India issues guidelines for conducting exit polls during elections to ensure fairness and prevent influence on voting behavior. Exit polls can only be conducted after the completion of voting in all phases of elections and must adhere to specific time restrictions. Media organizations and pollsters conducting exit polls are required to comply with the ECI's guidelines to maintain integrity.
How can I obtain information about the political parties registered with the Election Commission?,"You can obtain information about the political parties registered with the Election Commission of India from the ECI website or the NVSP portal. The ECI maintains a list of registered political parties along with their details such as name, symbol, address, and date of registration. You can access this information to verify the status of political parties and their registration credentials."
How can I find information about the election-related rules and procedures applicable to government employees?,"Government employees are subject to specific election-related rules and procedures prescribed by the Election Commission of India. These rules govern matters such as conduct during elections, participation in political activities, and restrictions on campaigning. You can find information about these rules on the ECI website or through official circulars issued by the ECI or respective government departments."
What measures are in place to ensure the integrity of the voter registration process and prevent electoral fraud?,"The Election Commission of India implements various measures to ensure the integrity of the voter registration process and prevent electoral fraud. These measures include robust verification procedures for voter registration applications, de-duplication of voter records, use of biometric authentication for voter identification, and regular updating and revision of the electoral roll to remove ineligible or duplicate entries."
"How can I find information about the schedule for election-related activities such as filing of nominations, scrutiny, and withdrawal of candidature?","Information about the schedule for election-related activities such as filing of nominations, scrutiny, and withdrawal of candidature is published by the Election Commission of India in the form of election notifications and press releases. You can access the election schedule for your constituency from the ECI website or through official announcements in newspapers and media channels."
What measures are in place to ensure the safety and security of election officials and polling personnel during elections?,"The Election Commission of India takes measures to ensure the safety and security of election officials and polling personnel during elections. These measures include deployment of security personnel at polling stations and counting centers, provision of transportation and accommodation facilities, issuance of identity cards and badges, and coordination with law enforcement agencies to address security threats."
How can I obtain information about the election results of previous elections in my constituency?,"You can obtain information about the election results of previous elections in your constituency from the Election Commission of India website or the NVSP portal. The ECI maintains a database of past election results, which you can access to view details such as winning candidates, party-wise performance, voter turnout, and margin of victory."
What is the procedure for registering as a voter if I have recently acquired citizenship through naturalization?,"If you have recently acquired citizenship through naturalization, you can register as a voter by filling out Form 6 online on the NVSP website or offline by obtaining the form from your nearest Electoral Registration Officer (ERO) office. Provide the necessary documents as proof of citizenship and residence along with the filled-out form."
How can I obtain information about the electoral rolls and polling stations in my area for conducting voter awareness campaigns?,"You can obtain information about the electoral rolls and polling stations in your area for conducting voter awareness campaigns from the Election Commission of India website or the NVSP portal. The ECI provides access to electoral roll data and polling station details, which you can use to plan and organize voter awareness activities."
What measures are in place to ensure the transparency and accountability of election-related expenses incurred by political parties and candidates?,"The Election Commission of India implements measures to ensure the transparency and accountability of election-related expenses incurred by political parties and candidates. These measures include mandatory submission of expenditure reports by candidates and parties, scrutiny and audit of expenditure statements, imposition of penalties for violations, and public disclosure of expenditure data for scrutiny by citizens and civil society."
How can I obtain information about the process for contesting elections as an independent candidate?,"You can obtain information about the process for contesting elections as an independent candidate from the Election Commission of India website or the NVSP portal. The ECI provides guidelines and instructions for independent candidates regarding nomination procedures, deposit requirements, and compliance with electoral laws and regulations."
What measures are in place to ensure the participation of marginalized and underrepresented communities in the electoral process?,"The Election Commission of India implements measures to ensure the participation of marginalized and underrepresented communities in the electoral process. These measures include targeted voter awareness campaigns, special enrollment drives, provision of facilities such as transport assistance and accessible polling stations, and outreach programs in remote and tribal areas."
How can I obtain information about the guidelines for opinion polls and surveys conducted during elections?,"Information about the guidelines for opinion polls and surveys conducted during elections is available on the Election Commission of India website. The ECI issues guidelines to regulate the conduct of opinion polls and surveys to ensure fairness, accuracy, and transparency. You can access these guidelines and instructions from the ECI website or through official communications."
What is the process for obtaining a voter ID card for first-time voters?,"First-time voters can obtain a voter ID card by registering as voters through the online or offline process. Fill out Form 6 online on the NVSP website or offline by obtaining the form from your nearest Electoral Registration Officer (ERO) office. Provide the necessary documents as proof of age, identity, and residence along with the filled-out form."
How can I obtain information about the election-related initiatives and programs implemented by the Election Commission in my state?,"You can obtain information about the election-related initiatives and programs implemented by the Election Commission in your state from the State Election Commission website or the official website of the Chief Electoral Officer (CEO) of your state. These websites provide updates, announcements, and reports on voter education campaigns, voter registration drives, and other electoral activities."
What is the process for contesting elections as a candidate representing a recognized political party?,The process for contesting elections as a candidate representing a recognized political party involves obtaining a 'Party Ticket' or official nomination from the party leadership. The candidate must fulfill eligibility criteria specified by the Election Commission of India and submit nomination papers with required documents and deposit to the Returning Officer (RO) within the nomination period.
How can I obtain information about the process for filing complaints against violations of the Model Code of Conduct?,"You can obtain information about the process for filing complaints against violations of the Model Code of Conduct from the Election Commission of India website or the NVSP portal. The ECI provides guidelines for filing complaints, including contact details of designated authorities, formats for complaint submission, and timelines for redressal."
What measures are in place to ensure the security and integrity of electronic voting machines (EVMs) during elections?,"The Election Commission of India implements various measures to ensure the security and integrity of electronic voting machines (EVMs) during elections. These measures include rigorous testing and certification of EVMs, sealing of machines before and after polling, deployment of security personnel for EVM transportation and storage, and stringent protocols for handling and operating EVMs."
How can I obtain information about the guidelines for conducting public meetings and rallies during elections?,"Information about the guidelines for conducting public meetings and rallies during elections is available on the Election Commission of India website. The ECI issues instructions to political parties and candidates regarding the conduct of public events to ensure compliance with the Model Code of Conduct and regulations related to crowd management, security, and environmental protection."
What is the procedure for requesting a change of polling station for voters with valid reasons?,"The procedure for requesting a change of polling station for voters with valid reasons involves submitting an application to the Electoral Registration Officer (ERO) of the constituency. Fill out Form 8, which is the application form for correction of entries in the electoral roll, and specify the reason for the change along with details of your current and preferred polling stations."
How can I obtain information about the guidelines for use of election symbols by candidates and political parties?,"Information about the guidelines for use of election symbols by candidates and political parties is available on the Election Commission of India website. The ECI issues instructions to parties and candidates regarding the allocation, use, and display of election symbols to ensure fairness, transparency, and compliance with electoral laws and regulations."
What is the procedure for registering as a voter if I am a resident of a foreign country?,"If you are a resident of a foreign country and eligible to vote, you can register as a voter through the 'Overseas Voter Registration' process facilitated by the Election Commission of India. Visit the NVSP website and fill out Form 6A, which is the application form for overseas voter registration. Provide the necessary details and documents as per the application process, and your name will be included in the electoral roll as an overseas voter."
Which authority conducts elections to the offices of the President and Vice-President of India ?,"Under Article 324(1) of the Constitution of India, the Election Commission of India, interalia, is vested with the power of superintendence, direction and control of conducting the elections to the offices of the President and Vice-President of India. Detailed provisions are made under the Presidential and Vice Presidential Elections Act, 1952 and the rules made thereunder."
Which authority conducts elections to Parliament?,"The same Article 324 also vests in the Commission the powers of superintendence, direction and control of the elections to both Houses of Parliament. Detailed provisions are made under the Representation of the People Act, 1951 and the rules made thereunder."
Which authority conducts elections to the State Legislative Assemblies and Legislative Councils?,"Article 324 (1) also vests in the Commission the powers of superintendence, direction and control of the elections to both Houses of the State Legislature. Detailed provisions are made under the Representation of the People Act, 1951 and the rules made thereunder."
"Which authority conducts elections to Corporations, Municipalities and other Local Bodies ?","The State Election Commissions constituted under the Constitution (Seventy-third and Seventy-fourth) Amendments Act, 1992 for each State / Union Territory are vested with the powers of conduct of elections to the Corporations, Muncipalities, Zilla Parishads, District Panchayats, Panchayat Samitis, Gram Panchayats and other local bodies. They are independent of the Election Commission of India."
What is the present composition of the Election Commission?,"At present, the Election Commission of India is a three-member body, with one Chief Election Commissioner and two Election Commissioners."
Has the Election Commission been a multi-member body from the beginning?,"No. It was not a multi member body from the beginning. It was a single - member body when it was first set up in 1950 and up to 15th October, 1989 with only the Chief Election Commissioner. From 16th October, 1989 upto the 1st January, 1990, it became a three-member body with R.V.S.Peri Sastri (C.E.C) and S.S.Dhanoa and V.S.Seigell as Election Commissioners. From 2nd January, 1990 to 30th September, 1993, it was a single-member Commission and again from 1st October, 1993 it has become a three-member Commission."
What is the status Chief Election Commissioner and the Election Commissioners in terms of salaries and allowances etc.?,"Equivalent to Supreme Court Judges. The Chief Election Commissioner and the two Election Commissioners draw salaries and allowances at par with those of the Judges of the Supreme Court of India as provided for by the Chief Election Commissioner and other Election Commissioners (Conditions of Service) Rules, 1992. "
What is the term of office of the Chief Election Commissioner? Is it different from the Election Commissioners?,"The Chief Election Commissioner or an Election Commissioner holds office for a term of six years from the date on which he assumes his office. However, where the Chief Election Commissioner or an Election Commissioner attains the age of sixty-five years before the expiry of the said term of six years, he shall vacate his office on the the date on which he attains sixty-five years of age."
"When the Commissioner becomes a multi-member Commission, how are the decisions taken, whether by majority or by consensus?","Section 10 of the Chief Election Commissioner and other Election Commissioners (Conditions of Service) Amendment Act, 1993 is reproduced below:-
(1) The Election Commission may be by unanimous decision, regulate the procedure for transaction of to business as also allocation of its business amongst the Chief Election Commissioner and their Election Commissioners.
(2) Save as provided in sub section (i) all business of the Election Commission shall, as far as possible, be transacted unanimously.
(3) Subject to the provisions of sub-section (ii), if the Chief Election Commissioner and other Election Commissioners differ in opinion on any matter, such matter shall be decided by according to the opinion of the majority."
Who appoints the Chief Election Commissioners and Election Commissioners?,"The President. Under Article 324(2) of the Constitution of India, the President of India is empowered to appoint the Chief Election Commissioner and the Election Commissioners."
Who fixes the number of Election Commissioners (other than Chief Election Commissioner)?,The President.Article 324(2) also empowers the President of India to fix from time to time the number of Election Commissioners other than the Chief Election Commissioner.
Who supervises the election work in a State ?,"The Chief Electoral Officer (CEO). As per section 13A of the Representation of the People Act 1950, read with section 20 of the Representation of the People Act, 1951, the Chief Electoral Officer of a State/ Union Territory is authorised to supervise the election work in the State/Union Territory subject to the overall superintendence, direction and control of the Election Commission."
Who appoints the Chief Electoral Officer?,The Election Commission of India nominates or designates an Officer of the Government of the State/Union Territory as the Chief Electoral Officer in consultation with that State Government/Union Territory Administration.
Who supervises the election work in a District?,"The District Election Officer (DEO). As per section 13AA of the Representation of the People Act 1950, subject to the superintendence, direction and control of the Chief Electoral Officer, the District Election Officer supervises the election work of a district."
Who appoints the District Election Officer?,The Election Commission of India nominates or designates an Officer of the State Government as the District Election Officer in consultation with the State Government.
Who is responsible for the conduct of elections in any Parliamentary or Assembly constituency ?,The Returning Officer of a parliamentary or assembly constituency is responsible for the conduct of elections in the parliamentary or assembly constituency concerned as per section 21 of the Representation of the People Act 1951.
Who appoints the Returning Officer?,"The Election Commission of India nominates or designates an officer of the Government or a local authority as the Returning Officer for each of the assembly and parliamentary constituencies in consultation with the State Government/Union Territory Administration. In addition, the Election Commission of India also appoints one or more Assistant Returning Officers for each of the assembly and parliamentary constituencies to assist the Returning Officer in the performance of his functions in connection with the conduct of elections."
Who is responsible for the preparation of electoral rolls for a Parliamentary or Assembly Constituency?,The Electoral Registration officer is responsible for the preparation of electoral rolls for a parliamentary / assembly constituency.
Who conducts the poll at a polling station?,The Presiding Officer with the assistance of polling officers conducts the poll at a polling station.
Who appoints the Electoral Registration officer?,"Under section 13B of the Representation of the People Act, 1950, the Election Commission of India, in consultation with the State / UT Government, appoints an Officer of the Government or the Local Authorities as the Electoral Registration Officer. In addition, the Election Commission of India also appoints one or more Assistant Electoral Registration Officers to assist the Electoral Registration Officer in the performance of his functions in the matter of preparation / revision of electoral rolls."
